2025-04-15T09:47:43: 🟢 Conexión a la base de datos exitosa
2025-04-15T09:47:43: 🗂️ Modelos sincronizados
2025-04-15T09:47:43: 🚀 Servidor y WebSocket corriendo en puerto 3000
2025-04-15T09:48:49: ➡️ GET /api/pagina
2025-04-15T09:48:55: ➡️ GET /api/usuarios/vendedores/vendedor-por-link/TUIJ
2025-04-15T09:48:55: ➡️ GET /api/pagina/banners
2025-04-15T09:48:55: ➡️ GET /api/productos
2025-04-15T09:48:56: ➡️ GET /api/pagina/banners
2025-04-15T09:48:56: ➡️ GET /api/productos
2025-04-15T09:48:59: ➡️ POST /api/auth/login
2025-04-15T09:49:00: ➡️ GET /api/pagina
2025-04-15T09:49:00: ➡️ GET /api/estadisticas/resumen
2025-04-15T09:49:01: ➡️ GET /api/pagina
2025-04-15T09:49:01: ➡️ GET /api/pagina
2025-04-15T09:51:19: ➡️ POST /api/auth/login
2025-04-15T09:51:20: ➡️ GET /api/pagina
2025-04-15T09:51:20: ➡️ GET /api/estadisticas/resumen
2025-04-15T09:51:20: ➡️ GET /api/usuarios/administradores
2025-04-15T09:51:26: ➡️ GET /api/pagina
2025-04-15T09:51:26: ➡️ GET /api/usuarios/vendedores
2025-04-15T09:51:37: ➡️ GET /api/pagina
2025-04-15T09:53:31: ➡️ POST /api/auth/login
2025-04-15T09:53:31: ➡️ GET /api/pagina
2025-04-15T09:53:31: ➡️ GET /api/estadisticas/resumen
2025-04-15T09:53:35: ➡️ GET /api/estadisticas/resumen
2025-04-15T09:53:35: ➡️ GET /api/pagina
2025-04-15T09:53:36: ➡️ GET /api/pagina
2025-04-15T09:53:36: ➡️ GET /api/usuarios/vendedores
2025-04-15T09:54:00: ➡️ GET /api/pagina
2025-04-15T09:54:00: ➡️ GET /api/estadisticas/resumen
2025-04-15T09:54:03: ➡️ GET /api/categorias
2025-04-15T09:54:03: ➡️ GET /api/productos
2025-04-15T09:54:03: ➡️ GET /api/pagina
2025-04-15T10:01:05: ➡️ POST /api/auth/login
2025-04-15T10:01:05: ➡️ GET /api/pagina
2025-04-15T10:01:05: ➡️ GET /api/estadisticas/resumen
2025-04-15T10:01:09: ➡️ GET /api/categorias
2025-04-15T10:01:09: ➡️ GET /api/pagina
2025-04-15T10:01:15: ➡️ POST /api/categorias
2025-04-15T10:01:15: ➡️ GET /api/categorias
2025-04-15T10:01:19: ➡️ GET /api/pagina
2025-04-15T10:01:19: ➡️ GET /api/usuarios/vendedores
2025-04-15T10:01:24: ➡️ GET /api/usuarios/vendedores/vendedor-por-link/TUIJ
2025-04-15T10:01:24: ➡️ GET /api/pagina/banners
2025-04-15T10:01:24: ➡️ GET /api/productos
2025-04-15T10:03:02: ➡️ GET /api/usuarios/vendedores/vendedor-por-link/TUIJ
2025-04-15T10:03:02: ➡️ GET /api/pagina/banners
2025-04-15T10:03:02: ➡️ GET /api/productos
2025-04-15T10:03:23: ➡️ GET /api/usuarios/vendedores/vendedor-por-link/TUIJ
2025-04-15T10:03:24: ➡️ GET /api/pagina/banners
2025-04-15T10:03:24: ➡️ GET /api/productos
2025-04-15T11:18:16: ➡️ GET /api/productos
2025-04-15T11:18:17: ➡️ GET /api/pagina/banners
2025-04-15T11:18:17: ➡️ GET /api/usuarios/vendedores/vendedor-por-link/TUIJ
2025-04-15T11:18:17: ➡️ GET /api/pagina/banners
2025-04-15T11:18:17: ➡️ GET /api/productos
2025-04-15T11:21:19: ➡️ GET /api/pagina/banners
2025-04-15T11:21:19: ➡️ GET /api/productos
2025-04-15T11:21:20: ➡️ GET /api/pagina/banners
2025-04-15T11:21:20: ➡️ GET /api/productos
2025-04-15T11:24:08: ➡️ POST /api/auth/login
2025-04-15T11:24:09: ➡️ GET /api/pagina
2025-04-15T11:24:09: ➡️ GET /api/estadisticas/resumen
2025-04-15T11:24:12: ➡️ GET /api/pagina
2025-04-15T11:24:12: ➡️ GET /api/pagina
2025-04-15T11:24:20: ➡️ GET /api/pagina
2025-04-15T11:24:21: ➡️ GET /api/pagina
2025-04-15T11:24:53: ➡️ POST /api/pagina/banners
2025-04-15T11:24:53: ➡️ GET /api/pagina
2025-04-15T11:25:10: ➡️ GET /api/pagina
2025-04-15T11:25:10: ➡️ GET /api/pagina
2025-04-15T11:25:16: ➡️ GET /api/pagina/banners
2025-04-15T11:25:16: ➡️ GET /api/productos
2025-04-15T11:33:24: ➡️ GET /api/pagina/banners
2025-04-15T11:33:24: ➡️ GET /api/productos
2025-04-15T11:33:25: ➡️ GET /api/pagina/banners
2025-04-15T11:33:25: ➡️ GET /api/productos
2025-04-15T11:33:34: ➡️ GET /api/pagina/banners
2025-04-15T11:33:34: ➡️ GET /api/productos
2025-04-15T11:37:19: ➡️ GET /api/pagina/banners
2025-04-15T11:37:19: ➡️ GET /api/productos
2025-04-15T11:37:20: ➡️ GET /api/pagina/banners
2025-04-15T11:37:20: ➡️ GET /api/productos
2025-04-15T11:37:21: ➡️ GET /api/pagina/banners
2025-04-15T11:37:21: ➡️ GET /api/productos
2025-04-15T11:37:21: ➡️ GET /api/productos
2025-04-15T11:37:21: ➡️ GET /api/pagina/banners
2025-04-15T11:37:21: ➡️ GET /api/productos
2025-04-15T11:37:21: ➡️ GET /api/pagina/banners
2025-04-15T11:37:22: ➡️ GET /api/pagina/banners
2025-04-15T11:37:22: ➡️ GET /api/productos
2025-04-15T11:38:17: ➡️ GET /api/pagina/banners
2025-04-15T11:38:17: ➡️ GET /api/productos
2025-04-15T11:38:18: ➡️ GET /api/pagina/banners
2025-04-15T11:38:18: ➡️ GET /api/productos
2025-04-15T11:38:19: ➡️ GET /api/productos
2025-04-15T11:38:19: ➡️ GET /api/pagina/banners
2025-04-15T11:38:20: ➡️ GET /api/pagina/banners
2025-04-15T11:38:20: ➡️ GET /api/productos
2025-04-15T11:41:45: ➡️ GET /api/pagina/banners
2025-04-15T11:41:45: ➡️ GET /api/productos
2025-04-15T11:41:46: ➡️ GET /api/productos
2025-04-15T11:41:46: ➡️ GET /api/pagina/banners
2025-04-15T11:41:47: ➡️ GET /api/pagina/banners
2025-04-15T11:41:47: ➡️ GET /api/productos
2025-04-15T11:41:47: ➡️ GET /api/pagina/banners
2025-04-15T11:41:47: ➡️ GET /api/productos
2025-04-15T11:41:47: ➡️ GET /api/pagina/banners
2025-04-15T11:41:47: ➡️ GET /api/productos
